assembly_id	File_prefix	biosample	Species	source	host	host_simple	isolation_year	region	Collection	mos_aic_source_specific	mos_aic_source_lab	location	mos_aic_lab_field	mosquito_spp
SKLX033674	GCA_025196605.1	SAMN15461118	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX033938	GCA_025196545.1	SAMN15461119	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX034061	GCA_025196485.1	SAMN15461120	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX035318	GCA_025196535.1	SAMN15461121	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX036434	GCA_025196495.1	SAMN15461122	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX036455	GCA_025196525.1	SAMN15461123	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX036966	GCA_025196465.1	SAMN15461124	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX037417	GCA_025196425.1	SAMN15461125	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX039221	GCA_025196435.1	SAMN15461126	Elizabethkingia anophelis	Body fluid	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX039531	GCA_025196405.1	SAMN15461127	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX041241	GCA_025196385.1	SAMN15461128	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX041566	GCA_025196365.1	SAMN15461129	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX041685	GCA_025196325.1	SAMN15461130	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
